track_name,artists,release_year,era,duration_min,danceability,energy,loudness,acousticness,valence
I Don't Wanna Fight,Westlife,1999,Pre-streaming,5.057333333333333,0.59,0.479,-7.109,0.5,0.3279999999999999
Change the World,Westlife,1999,Pre-streaming,3.15555,0.634,0.726,-5.894,0.345,0.6729999999999999
Moments,Westlife,1999,Pre-streaming,4.279333333333334,0.57,0.371,-8.507,0.499,0.565
Seasons in the Sun,Westlife,1999,Pre-streaming,4.15445,0.597,0.5579999999999999,-6.22,0.1969999999999999,0.535
I Need You,Westlife,1999,Pre-streaming,3.8106666666666666,0.667,0.7170000000000001,-5.056,0.285,0.617
Miss You,Westlife,1999,Pre-streaming,3.88155,0.491,0.627,-6.2070000000000025,0.436,0.402
More than Words,Westlife,1999,Pre-streaming,3.901116666666667,0.67,0.295,-9.7,0.518,0.507
Open Your Heart,Westlife,1999,Pre-streaming,3.6573333333333333,0.655,0.777,-6.136,0.291,0.599
Try Again,Westlife,1999,Pre-streaming,3.5888833333333334,0.5710000000000001,0.613,-6.278,0.024,0.165
What I Want Is What I Got,Westlife,1999,Pre-streaming,3.5337833333333335,0.75,0.7509999999999999,-4.343,0.239,0.913
We Are One,Westlife,1999,Pre-streaming,3.74,0.529,0.528,-6.566,0.157,0.278
Can't Lose What You Never Had,Westlife,1999,Pre-streaming,4.352883333333334,0.599,0.647,-6.023,0.2769999999999999,0.465
Mandy,Westlife,2003,Pre-streaming,3.322,0.447,0.636,-5.08,0.254,0.376
Hey Whatever,Westlife,2003,Pre-streaming,3.4842166666666667,0.594,0.873,-3.825,0.0635,0.621
Heal,Westlife,2003,Pre-streaming,3.1286666666666667,0.636,0.634,-7.332999999999997,0.00205,0.417
Obvious,Westlife,2003,Pre-streaming,3.502666666666667,0.529,0.667,-7.263,0.0385,0.402
When a Woman Loves a Man,Westlife,2003,Pre-streaming,3.629783333333333,0.436,0.5,-7.48,0.139,0.32
On My Shoulder,Westlife,2003,Pre-streaming,3.953333333333333,0.546,0.68,-6.29,0.703,0.529
Turn Around,Westlife,2003,Pre-streaming,4.36045,0.685,0.8390000000000001,-4.582,0.0227,0.7290000000000001
I Did It for You,Westlife,2003,Pre-streaming,3.5208833333333334,0.536,0.564,-5.202999999999999,0.243,0.356
Thank You,Westlife,2003,Pre-streaming,4.049783333333333,0.665,0.8640000000000001,-3.749,0.0319,0.932
To Be with You,Westlife,2003,Pre-streaming,3.342216666666667,0.534,0.675,-5.018,0.0732,0.639
Home,Westlife,2003,Pre-streaming,4.089333333333333,0.505,0.639,-6.897,0.0552,0.408
Lost in You,Westlife,2003,Pre-streaming,3.612,0.579,0.41,-8.866,0.24,0.479
What Do They Know?,Westlife,2003,Pre-streaming,3.2997833333333335,0.5489999999999999,0.237,-9.242,0.6940000000000001,0.102
Highwayman,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.044216666666667,0.67,0.351,-16.842,0.48,0.45
The Last Cowboy Song,The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.176,0.596,0.176,-20.332,0.7290000000000001,0.502
"Jim, I Wore a Tie Today",The Highwaymen;Willie Nelson;Johnny Cash;Waylon Jennings;Kris Kristofferson,1985,Pre-streaming,3.358,0.6779999999999999,0.223,-19.246,0.74,0.31
